"FARM_NO","YEAR","COMPANY","AREA_GRP","FARM_LEVEL","UPDOWN","MSY","PSY","S_MODON","BING","BDAY","C_BDAY","D_BDAY","E_BDAY","F_BDAY","G_BDAY","BUNMAN_GIGAN","BUNMAN_RATIO","CHONGSAN_AVG","SILSAN_AVG","MILA_AVG","SASAN_AVG","EUDUSU_AVG","POU_AVG","JAGI_AVG","ZAEGI7_RATIO","DIE_SANCHA","CHO_GYOBAE","AVG_SANCHA"
"1864","2011",피그플랜,"010007","180005","3",0,21.7,433,2.41,28.2,12.4,0.2,15.5,0.1,0,116.1,79.9,10.2,9.2,0.1,0.9,9,24.1,5.6,"92.7","6.1",267,"7.4"
"1073","2011",피그플랜,"010002","180007","3",0,22.9,"1,146",2.43,31,11.9,1.3,16.3,1,0.5,115.4,85.9,11.9,11.2,0.3,0.4,9.4,23.6,5.8,"92.2","4.5",251,"6.7"
"1197","2011",피그플랜,"010002","180004","3",19,22.9,335,2.37,33.6,13.4,0.6,19.5,0.2,0,115,79.9,11.3,10.8,0.2,0.3,9.6,26,6.4,"88.6","6.1",267,"6.6"
"1279","2011",피그플랜,"010002","180003","4",0,18.2,241,2.18,62.4,23.1,6.5,32.8,0,0,115.6,83.5,10.4,9.6,0,0.8,8.4,22.9,12.3,"80.3","5.9",209,"6.1"
"1445","2011",피그플랜,"010002","180002","1",0,27.4,138,2.54,21.6,11.8,0.2,9.2,0.4,0,115.4,90.9,12.9,12,0.3,0.6,10.8,19.9,5.3,"94.6","6.9",243,"6.7"
"1475","2011",피그플랜,"010002","180001","3",0,21.1,82,2.4,26.4,16.8,1.2,8.1,0.3,0,116.3,90.3,11.8,11.2,0.1,0.5,8.8,25.1,7,"85.2","5.1",247,"7.2"
"2350","2011",피그플랜,"010007","180003","3",17.8,21.8,256,2.3,52.8,16.7,5.2,22.8,6.8,1.3,115.1,82.1,10.8,10.1,0,0.7,9.5,20.3,8,"90.3","6.6",228,"8.3"
"2680","2011",피그플랜,"010002","180007","4",0,18.5,"1,039",2.23,53,15.3,10.9,24.5,1.7,0.5,115.2,83.1,11.6,10.3,0,1.3,8.3,24.2,8.2,"83.3","3.5",272,"4.8"
"1761","2011",피그플랜,"010007","180002","3",0,23.1,194,2.14,61.2,13.7,4.3,39.3,1.8,2.1,115.1,76.9,11.9,11.3,0,0.6,10.8,27.7,7.5,"92.5","4.7",243,"3.8"
"1817","2011",피그플랜,"010009","180002","3",17.6,20,199,2.19,56.5,10.9,2.3,40.8,1.6,0.9,115.6,77,11.3,11.1,0,0.2,9.1,25.4,5.6,"91","5.1",243,"4.5"
"1859","2011",피그플랜,"010004","180006","3",0,22.5,557,2.32,39.5,15.3,3.6,16.3,2.5,1.7,113.8,80.3,10.1,10,0,0,9.7,27.3,7.8,"89.7","5.2",242,"5.9"
"1139","2011",피그플랜,"010002","180003","3",20.4,21.6,210,2.35,43.7,13.8,1.7,27.8,0.3,0,115.3,77.8,10.8,10,0,0.8,9.2,22.1,7.1,"90.9","4.9",243,"4.6"
"1417","2011",피그플랜,"010005","180005","2",0,25.1,451,2.44,27.7,11.1,0.4,16.2,0,0,114,85.2,12.5,11.8,0.3,0.5,10.3,24.3,5.3,"98.6","5.2",247,"5.7"
"1668","2011",피그플랜,"010002","180002","3",0,21.4,140,2.28,42.1,13.2,0.6,27.8,0.5,0,116,79,13.2,12.1,0,1.1,9.4,25,6.3,"85.6","4.1",243,"6.6"
"2157","2011",피그플랜,"010004","180007","4",0,19.6,"1,011",2.17,58.3,13.9,4.3,31.5,5.7,2.9,116.5,76.1,11,9.5,0.2,1.3,9,25.9,7.9,"86.5","3.8",255,"5.4"
"28","2011",피그플랜,"010002","180003","3",0,24,275,2.41,30.1,11,2.6,16.4,0.1,0,114.6,86.3,12.3,11.5,0,0.9,10,24.8,5.6,"94.4","6.3",255,"6.4"
"634","2011",피그플랜,"010005","180007","3",18.1,20.9,"1,011",2.13,60.2,15.9,2.4,36,4.2,1.8,115.8,81.7,11.6,11,0,0.5,9.8,27.9,7.4,"86.5","4.2",254,"7.3"
"917","2011",피그플랜,"010008","180003","4",0,18.3,200,2.12,71.2,16.2,1.8,47.4,3.7,2,114.7,80.6,11,10.2,0,0.9,8.6,24.3,8.2,"86.6","5.5",250,"6.7"
"1773","2011",피그플랜,"010002","180006","3",0,20.9,971,2.25,48.4,19.3,2.2,26.8,0,0,114.7,80.4,11.9,10.8,0.3,0.7,9.3,26.2,9.4,"85.2","5.2",278,"7.9"
"1779","2011",피그플랜,"010005","180007","3",21,21.8,"1,102",2.21,67.6,16.6,3.5,47.4,0.1,0.1,115,77.6,12,11.1,0.2,0.7,9.9,19.6,8.9,"91.8","6.3",243,"4.2"
"1971","2011",피그플랜,"010009","180003","4",0,18.9,289,2.19,64,17.1,0.5,45.7,0.7,0,116.5,65.3,10.6,10.2,0,0.3,8.7,22.7,9.2,"84","2.9",243,
"1140","2011",피그플랜,"010002","180002","3",0,22.6,169,2.29,42.7,14.5,1.9,26,0.3,0,115.7,83.3,12.7,11.5,0,1.2,9.9,24.8,7.5,"90.5","6.9",242,"6.1"
"1386","2011",피그플랜,"010002","180007","4",0,18.6,"2,241",2,94.1,55.3,20.5,16.4,1.5,0.5,114.1,88.1,11.3,10.5,0.1,0.7,9.3,25.3,23.8,"82.5","4.2",254,"6.9"
"2159","2011",피그플랜,"010004","180006","3",0,22.4,947,2.29,43.9,11.6,2.2,23.7,3.9,2.6,116.2,80.9,11.1,10,0.4,0.7,9.8,24.8,5.9,"89.7","4.3",249,"6.2"
"2132","2011",피그플랜,"010002","180004","3",0,23,313,2.33,50.9,22.1,5.2,16.7,5.8,1.1,115.6,79.7,12.1,11.2,0.1,0.8,9.9,25.1,11.8,"84.8","5.1",263,"6.9"
"89","2011",피그플랜,"010009","180002","3",0,21.9,180,2.36,28,12.6,0.7,14.7,0,0,115.5,87.2,11.5,10.4,0.2,0.9,9.3,27.4,6.1,"92.9","5.6",226,"6.9"
"809","2011",피그플랜,"010002","180003","4",17.8,18,233,2.23,51.3,14.2,2.4,33.6,1.1,0,115.9,78.7,10.9,10.1,0.1,0.6,8.1,21.6,7.4,"86.8","3.7",239,"5.3"
"1320","2011",피그플랜,"010002","180006","4",0,19.5,656,2.24,61,15.6,5.9,36.5,1.5,1.5,114.5,65.6,10.7,9.7,0,1,8.7,22.3,8.9,"77.4","3.9",229,"5"
"1912","2011",피그플랜,"010002","180002","5",0,16.7,190,2.07,68.6,13.6,0.8,47.4,4.9,1.8,115.4,63.5,11.2,10.6,0,0.6,8.1,28.6,6.9,"88.6","3.2",238,"6.3"
"1307","2011",피그플랜,"010002","180003","3",0,22,227,2.37,38.3,14.5,0.4,23.2,0.1,0,115,84.5,11.7,10.6,0,1.1,9.3,22.3,6.3,"92.1","6.7",243,"4.8"
"2119","2011",피그플랜,"010002","180002","3",0,20.3,183,2.23,54.4,11.1,2.2,37.2,2.2,1.7,115,68.5,11.4,10.3,0.5,0.7,9.1,25.4,6.2,"97","4.7",234,"6.6"
"1387","2011",피그플랜,"010006","180001","4",0,19.5,89,2.12,67.4,12,0.3,32.4,16.4,6.3,115.4,61.6,12.8,11.4,0.2,1.2,9.2,25.4,6.6,"93.9","1.4",232,"6.7"
"2289","2011",피그플랜,"010002","180006","3",0,22.3,577,2.5,28.1,14.8,0.6,12.4,0.3,0,115,89.8,12,11.3,0.4,0.3,8.9,19.3,6.9,"85.1","6.4",244,"4.7"
"1705","2011",피그플랜,"010002","180005","3",0,23.2,454,2.4,32.2,15.2,0.5,15.6,0.7,0.2,115.2,88.1,12.4,11.3,0.4,0.7,9.7,24.3,7.3,"86.7","4.4",262,"7"
