"연도","상시모돈","모돈평균산차","평균도폐산차","PSY","모돈회전율","평균이유두수","평균총산","평균실산","평균사산","평균미라","임신기간","포유기간","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","분만율","재귀발정일","재귀율_7일_이내","최초교배일령"
"2011",433,7.4,6.1,21.7,2.41,9,10.2,9.2,0.9,0.1,116.1,24.1,28.2,12.4,0.2,15.5,0.1,0,79.9,5.6,92.7,267
"2011",1146,6.7,4.5,22.9,2.43,9.4,11.9,11.2,0.4,0.3,115.4,23.6,31,11.9,1.3,16.3,1,0.5,85.9,5.8,92.2,251
"2011",335,6.6,6.1,22.9,2.37,9.6,11.3,10.8,0.3,0.2,115,26,33.6,13.4,0.6,19.5,0.2,0,79.9,6.4,88.6,267
"2011",241,6.1,5.9,18.2,2.18,8.4,10.4,9.6,0.8,0,115.6,22.9,62.4,23.1,6.5,32.8,0,0,83.5,12.3,80.3,209
"2011",138,6.7,6.9,27.4,2.54,10.8,12.9,12,0.6,0.3,115.4,19.9,21.6,11.8,0.2,9.2,0.4,0,90.9,5.3,94.6,243
"2011",82,7.2,5.1,21.1,2.4,8.8,11.8,11.2,0.5,0.1,116.3,25.1,26.4,16.8,1.2,8.1,0.3,0,90.3,7,85.2,247
"2011",256,8.3,6.6,21.8,2.3,9.5,10.8,10.1,0.7,0,115.1,20.3,52.8,16.7,5.2,22.8,6.8,1.3,82.1,8,90.3,228
"2011",1039,4.8,3.5,18.5,2.23,8.3,11.6,10.3,1.3,0,115.2,24.2,53,15.3,10.9,24.5,1.7,0.5,83.1,8.2,83.3,272
"2011",194,3.8,4.7,23.1,2.14,10.8,11.9,11.3,0.6,0,115.1,27.7,61.2,13.7,4.3,39.3,1.8,2.1,76.9,7.5,92.5,243
"2011",199,4.5,5.1,20,2.19,9.1,11.3,11.1,0.2,0,115.6,25.4,56.5,10.9,2.3,40.8,1.6,0.9,77,5.6,91,243
"2011",557,5.9,5.2,22.5,2.32,9.7,10.1,10,0,0,113.8,27.3,39.5,15.3,3.6,16.3,2.5,1.7,80.3,7.8,89.7,242
"2011",210,4.6,4.9,21.6,2.35,9.2,10.8,10,0.8,0,115.3,22.1,43.7,13.8,1.7,27.8,0.3,0,77.8,7.1,90.9,243
"2011",451,5.7,5.2,25.1,2.44,10.3,12.5,11.8,0.5,0.3,114,24.3,27.7,11.1,0.4,16.2,0,0,85.2,5.3,98.6,247
"2011",140,6.6,4.1,21.4,2.28,9.4,13.2,12.1,1.1,0,116,25,42.1,13.2,0.6,27.8,0.5,0,79,6.3,85.6,243
"2011",1011,5.4,3.8,19.6,2.17,9,11,9.5,1.3,0.2,116.5,25.9,58.3,13.9,4.3,31.5,5.7,2.9,76.1,7.9,86.5,255
"2011",275,6.4,6.3,24,2.41,10,12.3,11.5,0.9,0,114.6,24.8,30.1,11,2.6,16.4,0.1,0,86.3,5.6,94.4,255
"2011",1011,7.3,4.2,20.9,2.13,9.8,11.6,11,0.5,0,115.8,27.9,60.2,15.9,2.4,36,4.2,1.8,81.7,7.4,86.5,254
"2011",200,6.7,5.5,18.3,2.12,8.6,11,10.2,0.9,0,114.7,24.3,71.2,16.2,1.8,47.4,3.7,2,80.6,8.2,86.6,250
"2011",971,7.9,5.2,20.9,2.25,9.3,11.9,10.8,0.7,0.3,114.7,26.2,48.4,19.3,2.2,26.8,0,0,80.4,9.4,85.2,278
"2011",1102,4.2,6.3,21.8,2.21,9.9,12,11.1,0.7,0.2,115,19.6,67.6,16.6,3.5,47.4,0.1,0.1,77.6,8.9,91.8,243
"2011",289,NA,2.9,18.9,2.19,8.7,10.6,10.2,0.3,0,116.5,22.7,64,17.1,0.5,45.7,0.7,0,65.3,9.2,84,243
"2011",169,6.1,6.9,22.6,2.29,9.9,12.7,11.5,1.2,0,115.7,24.8,42.7,14.5,1.9,26,0.3,0,83.3,7.5,90.5,242
"2011",2241,6.9,4.2,18.6,2,9.3,11.3,10.5,0.7,0.1,114.1,25.3,94.1,55.3,20.5,16.4,1.5,0.5,88.1,23.8,82.5,254
"2011",947,6.2,4.3,22.4,2.29,9.8,11.1,10,0.7,0.4,116.2,24.8,43.9,11.6,2.2,23.7,3.9,2.6,80.9,5.9,89.7,249
"2011",313,6.9,5.1,23,2.33,9.9,12.1,11.2,0.8,0.1,115.6,25.1,50.9,22.1,5.2,16.7,5.8,1.1,79.7,11.8,84.8,263
"2011",180,6.9,5.6,21.9,2.36,9.3,11.5,10.4,0.9,0.2,115.5,27.4,28,12.6,0.7,14.7,0,0,87.2,6.1,92.9,226
"2011",233,5.3,3.7,18,2.23,8.1,10.9,10.1,0.6,0.1,115.9,21.6,51.3,14.2,2.4,33.6,1.1,0,78.7,7.4,86.8,239
"2011",656,5,3.9,19.5,2.24,8.7,10.7,9.7,1,0,114.5,22.3,61,15.6,5.9,36.5,1.5,1.5,65.6,8.9,77.4,229
"2011",190,6.3,3.2,16.7,2.07,8.1,11.2,10.6,0.6,0,115.4,28.6,68.6,13.6,0.8,47.4,4.9,1.8,63.5,6.9,88.6,238
"2011",227,4.8,6.7,22,2.37,9.3,11.7,10.6,1.1,0,115,22.3,38.3,14.5,0.4,23.2,0.1,0,84.5,6.3,92.1,243
"2011",183,6.6,4.7,20.3,2.23,9.1,11.4,10.3,0.7,0.5,115,25.4,54.4,11.1,2.2,37.2,2.2,1.7,68.5,6.2,97,234
"2011",89,6.7,1.4,19.5,2.12,9.2,12.8,11.4,1.2,0.2,115.4,25.4,67.4,12,0.3,32.4,16.4,6.3,61.6,6.6,93.9,232
