"YEAR","REGION","SCALE","PSY","상시모돈","모돈회전율","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","임신기간","분만율","평균총산","평균실산","평균미라","평균사산","평균이유두수","포유기간","재귀발정일","재귀율_7일_이내","평균도폐산차","최초교배일령","모돈평균산차"
2011,10007,180005,21.7,433,2.41,28.2,12.4,0.2,15.5,0.1,0,116.1,79.9,10.2,9.2,0.1,0.9,9,24.1,5.6,92.7,6.1,267,7.4
2011,10002,180007,22.9,1146,2.43,31,11.9,1.3,16.3,1,0.5,115.4,85.9,11.9,11.2,0.3,0.4,9.4,23.6,5.8,92.2,4.5,251,6.7
2011,10002,180004,22.9,335,2.37,33.6,13.4,0.6,19.5,0.2,0,115,79.9,11.3,10.8,0.2,0.3,9.6,26,6.4,88.6,6.1,267,6.6
2011,10002,180003,18.2,241,2.18,62.4,23.1,6.5,32.8,0,0,115.6,83.5,10.4,9.6,0,0.8,8.4,22.9,12.3,80.3,5.9,209,6.1
2011,10002,180002,27.4,138,2.54,21.6,11.8,0.2,9.2,0.4,0,115.4,90.9,12.9,12,0.3,0.6,10.8,19.9,5.3,94.6,6.9,243,6.7
2011,10002,180001,21.1,82,2.4,26.4,16.8,1.2,8.1,0.3,0,116.3,90.3,11.8,11.2,0.1,0.5,8.8,25.1,7,85.2,5.1,247,7.2
2011,10007,180003,21.8,256,2.3,52.8,16.7,5.2,22.8,6.8,1.3,115.1,82.1,10.8,10.1,0,0.7,9.5,20.3,8,90.3,6.6,228,8.3
2011,10002,180007,18.5,1039,2.23,53,15.3,10.9,24.5,1.7,0.5,115.2,83.1,11.6,10.3,0,1.3,8.3,24.2,8.2,83.3,3.5,272,4.8
2011,10007,180002,23.1,194,2.14,61.2,13.7,4.3,39.3,1.8,2.1,115.1,76.9,11.9,11.3,0,0.6,10.8,27.7,7.5,92.5,4.7,243,3.8
2011,10009,180002,20,199,2.19,56.5,10.9,2.3,40.8,1.6,0.9,115.6,77,11.3,11.1,0,0.2,9.1,25.4,5.6,91,5.1,243,4.5
2011,10004,180006,22.5,557,2.32,39.5,15.3,3.6,16.3,2.5,1.7,113.8,80.3,10.1,10,0,0,9.7,27.3,7.8,89.7,5.2,242,5.9
2011,10002,180003,21.6,210,2.35,43.7,13.8,1.7,27.8,0.3,0,115.3,77.8,10.8,10,0,0.8,9.2,22.1,7.1,90.9,4.9,243,4.6
2011,10005,180005,25.1,451,2.44,27.7,11.1,0.4,16.2,0,0,114,85.2,12.5,11.8,0.3,0.5,10.3,24.3,5.3,98.6,5.2,247,5.7
2011,10002,180002,21.4,140,2.28,42.1,13.2,0.6,27.8,0.5,0,116,79,13.2,12.1,0,1.1,9.4,25,6.3,85.6,4.1,243,6.6
2011,10004,180007,19.6,1011,2.17,58.3,13.9,4.3,31.5,5.7,2.9,116.5,76.1,11,9.5,0.2,1.3,9,25.9,7.9,86.5,3.8,255,5.4
2011,10002,180003,24,275,2.41,30.1,11,2.6,16.4,0.1,0,114.6,86.3,12.3,11.5,0,0.9,10,24.8,5.6,94.4,6.3,255,6.4
2011,10005,180007,20.9,1011,2.13,60.2,15.9,2.4,36,4.2,1.8,115.8,81.7,11.6,11,0,0.5,9.8,27.9,7.4,86.5,4.2,254,7.3
2011,10008,180003,18.3,200,2.12,71.2,16.2,1.8,47.4,3.7,2,114.7,80.6,11,10.2,0,0.9,8.6,24.3,8.2,86.6,5.5,250,6.7
2011,10002,180006,20.9,971,2.25,48.4,19.3,2.2,26.8,0,0,114.7,80.4,11.9,10.8,0.3,0.7,9.3,26.2,9.4,85.2,5.2,278,7.9
2011,10005,180007,21.8,1102,2.21,67.6,16.6,3.5,47.4,0.1,0.1,115,77.6,12,11.1,0.2,0.7,9.9,19.6,8.9,91.8,6.3,243,4.2
2011,10009,180003,18.9,289,2.19,64,17.1,0.5,45.7,0.7,0,116.5,65.3,10.6,10.2,0,0.3,8.7,22.7,9.2,84,2.9,243,NA
2011,10002,180002,22.6,169,2.29,42.7,14.5,1.9,26,0.3,0,115.7,83.3,12.7,11.5,0,1.2,9.9,24.8,7.5,90.5,6.9,242,6.1
2011,10002,180007,18.6,2241,2,94.1,55.3,20.5,16.4,1.5,0.5,114.1,88.1,11.3,10.5,0.1,0.7,9.3,25.3,23.8,82.5,4.2,254,6.9
2011,10004,180006,22.4,947,2.29,43.9,11.6,2.2,23.7,3.9,2.6,116.2,80.9,11.1,10,0.4,0.7,9.8,24.8,5.9,89.7,4.3,249,6.2
2011,10002,180004,23,313,2.33,50.9,22.1,5.2,16.7,5.8,1.1,115.6,79.7,12.1,11.2,0.1,0.8,9.9,25.1,11.8,84.8,5.1,263,6.9
2011,10009,180002,21.9,180,2.36,28,12.6,0.7,14.7,0,0,115.5,87.2,11.5,10.4,0.2,0.9,9.3,27.4,6.1,92.9,5.6,226,6.9
2011,10002,180003,18,233,2.23,51.3,14.2,2.4,33.6,1.1,0,115.9,78.7,10.9,10.1,0.1,0.6,8.1,21.6,7.4,86.8,3.7,239,5.3
2011,10002,180006,19.5,656,2.24,61,15.6,5.9,36.5,1.5,1.5,114.5,65.6,10.7,9.7,0,1,8.7,22.3,8.9,77.4,3.9,229,5
2011,10002,180002,16.7,190,2.07,68.6,13.6,0.8,47.4,4.9,1.8,115.4,63.5,11.2,10.6,0,0.6,8.1,28.6,6.9,88.6,3.2,238,6.3
2011,10002,180003,22,227,2.37,38.3,14.5,0.4,23.2,0.1,0,115,84.5,11.7,10.6,0,1.1,9.3,22.3,6.3,92.1,6.7,243,4.8
2011,10002,180002,20.3,183,2.23,54.4,11.1,2.2,37.2,2.2,1.7,115,68.5,11.4,10.3,0.5,0.7,9.1,25.4,6.2,97,4.7,234,6.6
2011,10006,180001,19.5,89,2.12,67.4,12,0.3,32.4,16.4,6.3,115.4,61.6,12.8,11.4,0.2,1.2,9.2,25.4,6.6,93.9,1.4,232,6.7
2011,10002,180006,22.3,577,2.5,28.1,14.8,0.6,12.4,0.3,0,115,89.8,12,11.3,0.4,0.3,8.9,19.3,6.9,85.1,6.4,244,4.7
2011,10002,180005,23.2,454,2.4,32.2,15.2,0.5,15.6,0.7,0.2,115.2,88.1,12.4,11.3,0.4,0.7,9.7,24.3,7.3,86.7,4.4,262,7
2011,10002,180001,18.1,90,2.27,55.3,11.8,2.5,34.8,4.7,1.5,113.4,70.6,10.2,9.3,0,0.9,8,22.7,5.9,89.4,5,226,5.4
2011,10007,180003,21.7,214,2.21,51.7,17.4,6.9,24.4,2.3,0.7,114.7,79.2,11.7,10.8,0.2,0.8,9.8,27.7,9.3,84.8,4.6,242,7
2011,10002,180003,23.6,256,2.36,33.1,13.9,2,17.2,0,0,115.1,83.2,12,11,0.3,0.7,10,26.2,6.6,89.1,8.4,264,9.1
2011,10007,180005,23.8,447,2.42,38,14,6.1,17.4,0.1,0.4,115.1,86.8,11.4,10.1,0.3,1,9.8,20.2,6.5,90.8,4.6,250,6.1
2011,10002,180004,21.3,334,2.27,53.3,12,2.8,33.8,0.7,4.1,114,81,11.2,10,0.1,1.1,9.4,22.8,5.4,92.6,7.7,253,4.8
2011,10002,180004,22.8,347,2.37,30.4,13.7,0.6,15.9,0,0.1,115.1,87.5,11.8,11,0.1,0.7,9.6,25.7,6.3,89.6,5.4,239,6.8
2011,10002,180006,20.6,666,2.3,42.8,20,5.2,13.1,1.8,2.6,114.5,85.6,11.8,10.7,0.2,0.9,9,25.6,9.5,80.3,7.3,259,7.9
2011,10001,180002,21.4,198,2.24,51.8,17.6,2,31.6,0.5,0.1,115.3,71.2,11.2,10.5,0.1,0.6,9.5,25.1,8.6,78.1,4,253,7.4
2011,10009,180002,20.8,183,2.35,34.4,11.5,2.1,20.3,0.4,0,115.9,81.3,12.1,11.5,0,0.6,8.9,27.6,6.8,84.7,6.2,234,6.8
2011,10001,180002,21.7,165,2.21,55,27,2.4,23.4,1.6,0.7,114.5,81.5,12.8,11.6,0.2,1,9.8,26.7,13.7,74.4,3.8,242,6.4
2014,10001,180006,23,673,2.37,34.8,17.6,1.5,15.2,0.4,0.1,115.1,87.6,12.4,11.4,0.4,0.7,9.7,25.3,8,88.3,4.1,256,4.7
2014,10007,180005,25,416,2.35,43.5,12.5,1,28.4,1.3,0.4,115.3,83.1,12.7,12,0,0.6,10.6,21.6,6.3,92.9,4.6,245,4.3
2014,10004,180006,20.5,903,2.14,64.5,11.5,1.1,38.5,8.8,4.6,114.9,69.8,11.2,10.5,0.3,0.4,9.6,27,6.1,92.2,4.5,263,4.7
2014,10009,180006,24.1,925,2.4,40.9,15.4,3.1,19.2,2.6,0.7,114.5,83.6,12.5,11.4,0.3,0.9,10,21.7,7.2,89.3,1.5,253,4.1
2014,10002,180002,20.1,139,2.18,63.4,14.4,0.4,46.3,2.3,0,114,59.5,11.9,11.1,0.1,0.7,9.3,23.8,8.1,81.4,4,223,4.7
2014,10002,180001,20.8,94,2.28,39.1,16.9,0.5,19.2,1.9,0.7,115.3,82.8,11.9,10.9,0.1,0.9,9.1,27,8.3,81,5.1,241,5.1
2014,10004,180001,26.3,69,2.43,27.1,10.8,1.6,13.7,0.3,0.7,114.2,76.7,12.3,11.6,0,0.7,10.8,24.6,5.3,95.8,3.1,244,4.4
2014,10004,180003,21.5,235,2.25,41.4,17.3,0.5,23.4,0.1,0.1,115.4,87.1,11.8,10.9,0.1,0.8,9.6,27.4,7.9,84.2,6.8,242,5.3
2014,10009,180003,20,214,2.35,40.2,18.6,2.4,16.2,2.7,0.2,114.9,83.9,11.3,9.9,0.2,1.2,8.5,23.5,8.5,84.4,5.4,257,4.8
2014,10002,180007,26.1,2895,2.4,29.9,17.1,0.4,10.2,1.6,0.5,114.4,88,12.8,12.1,0.2,0.5,10.8,25.4,7.9,89.7,4.7,261,5
2014,10007,180003,22.6,276,2.27,53,15.3,3.8,23.5,7.7,2.7,115,81.7,12.5,11.3,0.3,0.9,9.9,22,7.6,89.5,4.9,248,4.2
2014,10001,180002,23.5,194,2.28,35.1,15.4,3.1,13.9,1.5,1.2,116.1,88.4,12.7,11.3,0.2,1.2,10.3,28.8,7.8,88.6,6.1,255,5.3
2014,10004,180002,21.7,171,2.41,42.2,13.9,2.5,25.7,0.2,0,115,75,11.9,10.9,0.3,0.7,9,19.9,7.2,83.3,5.1,242,4.5
2014,10009,180004,20.9,399,2.2,55.4,13.1,2.5,35.9,2.9,1,116.3,69.6,12.2,11,0.2,1,9.5,24.8,7.2,84.9,6.7,232,4.3
2014,10005,180004,23.8,365,2.41,28.1,14.6,0.7,11.5,1.1,0.2,115.4,89.8,12.5,10.9,0.3,1.4,9.9,24.4,6.6,88.7,8.3,242,6.4
2014,10002,180003,27.4,227,2.46,32.4,14.5,2.3,15.4,0.2,0,113.9,90.4,12.8,12.2,0,0.6,11.1,21.5,6.5,91.6,5.6,243,4.9
2014,10002,180003,24.5,202,2.29,40,14.8,2.8,22.4,0,0,115.5,82.1,11.8,11.4,0.2,0.3,10.7,29.2,7.8,83.6,6.8,242,3.9
2014,10009,180004,23.9,390,2.2,57.3,11.4,3.4,40.1,1.7,0.8,117,64.4,12.5,11.6,0.1,0.7,10.9,24.6,6.2,96.6,3,271,3.3
2014,10009,180003,18.2,230,2.15,64.6,17.9,3.6,40.6,1.8,0.8,118.5,75,11.7,10.5,0,1.2,8.5,21.3,9.4,82.7,3.5,219,3.5
